Company Name,Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...) ",Columbia school?,Which Specific Columbia Program?,Source,Notes
Equinor,Equinor,"100,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
Equinor,Equinor,"100,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
Equinor,Equinor,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Equinor,Equinor,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Equinor,Statoil,"100,000.00",2014,,SIPA,,https://issuu.com/columbiauniversitysipa/docs/460-02535_sipa-ar_nj_v10/62,
Equinor,Statoil,"100,000.00",2015,,SIPA,,https://issuu.com/columbiauniversitysipa/docs/sipa_annual_report_2014_2015,
Equinor,Statoil,"500,000.00",2017,,SIPA,,https://web.archive.org/web/20190130071315/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-2016-2017.pdf,
Equinor,Statoil,"500,000.00",2018,,SIPA,,https://web.archive.org/web/20191224033634/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2017-2018.pdf,
ExxonMobil,ExxonMobil,"10,000.00",2012,,Lamont-Doherty Earth Observatory,,https://lamont.columbia.edu/sites/default/files/content/LDEO_Annual%20Report_2012.pdf,
ExxonMobil,ExxonMobil,"1,000.00",2012,,Lamont-Doherty Earth Observatory,,https://lamont.columbia.edu/sites/default/files/content/LDEO_Annual%20Report_2012.pdf,
ExxonMobil,ExxonMobil,"10,000.00",2013,,Lamont-Doherty Earth Observatory,,https://www.ldeo.columbia.edu/ldeo/annualreports/2013report/index.html%3Fp=64.html,
ExxonMobil,ExxonMobil,"1,000.00",2013,,Lamont-Doherty Earth Observatory,,https://www.ldeo.columbia.edu/ldeo/annualreports/2013report/index.html%3Fp=64.html,
ExxonMobil,ExxonMobil,"1,000.00",2014,,Lamont-Doherty Earth Observatory,,https://www.ldeo.columbia.edu/ldeo/annualreports/2014report/our-donors/index.html,
ExxonMobil,ExxonMobil,"1,000.00",2015,,Lamont-Doherty Earth Observatory,,https://www.ldeo.columbia.edu/ldeo/annualreports/2015report/our-donors/index.html,
ExxonMobil,ExxonMobil,"1,000.00",2016,,Lamont-Doherty Earth Observatory,,https://lamont.columbia.edu/sites/default/files/content/LDEO_Annual%20Report_2016.pdf,
ExxonMobil,ExxonMobil,"25,000.00",2014,Donation/grant,SIPA,CGEP,https://littlesis.org/org/162243-Columbia_University_Center_on_Global_Energy_Policy,
ExxonMobil,ExxonMobil,"25,000.00",2015,,SIPA,,https://issuu.com/columbiauniversitysipa/docs/sipa_annual_report_2014_2015,
ExxonMobil,ExxonMobil,"50,000.00",2016,,SIPA,,https://www.columbiaspectator.com/the-eye/2023/10/09/columbia-has-received-funding-from-fossil-fuel-companies-for-decades-that-money-keeps-flowing/,
